issn_id,collection,subject_area
0718-4816,,Ciências da Saúde
0718-4867,,Ciências Sociais Aplicadas
0718-4883,,"Linguística, Letras e Artes"
0718-5006,,Engenharias
0718-5049,,Ciências Sociais Aplicadas
0718-5065,,Ciências Humanas
0718-5065,,Ciências Sociais Aplicadas
0718-5073,,Engenharias
0718-5162,,Ciências Sociais Aplicadas
0718-5200,,Ciências Sociais Aplicadas
0718-5286,,Ciências Sociais Aplicadas
0718-560X,,Ciências Biológicas
0718-560X,,Ciências Exatas e da Terra
0718-5693,,Ciências Sociais Aplicadas
0718-5839,,Ciências Agrárias
0718-591X,,Ciências Sociais Aplicadas
0718-6568,,Ciências Sociais Aplicadas
0718-669X,,Ciências Humanas
0718-6851,,Ciências Sociais Aplicadas
0718-686X,,Ciências Biológicas
0718-6894,,Ciências Humanas
0718-6924,,Ciências Sociais Aplicadas
0718-7106,,Ciências Exatas e da Terra
0718-7181,,Ciências Humanas
0718-7378,,Ciências Sociais Aplicadas
0718-8072,,Ciências Sociais Aplicadas
0718-8358,,Ciências Sociais Aplicadas
0718-8471,,Ciências Humanas
0718-8560,,Ciências da Saúde
0718-8870,,Ciências Sociais Aplicadas
0718-8994,,Ciências Biológicas
0718-915X,,Engenharias
0718-9273,,Ciências Humanas
0718-9303,,Ciências Humanas
0718-9516,,Ciências Agrárias
0718-9729,,Ciências Sociais Aplicadas
0718-9753,,Ciências Sociais Aplicadas
0719-0107,,Ciências da Saúde
0719-0409,,Ciências Sociais Aplicadas
0719-0433,,Ciências Sociais Aplicadas
0719-0581,,Ciências Sociais Aplicadas
0719-0646,,Ciências Exatas e da Terra
0719-0700,,Ciências Sociais Aplicadas
0719-0948,,Ciências Sociais Aplicadas
0719-1243,,Ciências Humanas
0719-1529,,Ciências Sociais Aplicadas
0719-1790,,Ciências Sociais Aplicadas
0719-2584,,Ciências Sociais Aplicadas
0719-2681,,Ciências Humanas
0719-2681,,Ciências Sociais Aplicadas
0719-2789,,Ciências Sociais Aplicadas
0719-3262,,"Linguística, Letras e Artes"
0719-367X,,Ciências Sociais Aplicadas
0719-3696,,Ciências Humanas
0719-3696,,Ciências Sociais Aplicadas
0719-3769,,Ciências Sociais Aplicadas
0719-3890,,Ciências Agrárias
0719-4242,,Ciências Humanas
0719-4994,,Ciências Agrárias
0719-4994,,Ciências Humanas
0719-5176,,"Linguística, Letras e Artes"
0719-5389,,Ciências Humanas
0719-5532,,Ciências Humanas
0719-5605,,Ciências Sociais Aplicadas
0719-5699,,Ciências Humanas
0719-6466,,Ciências Sociais Aplicadas
0719-689X,,Ciências Humanas
0719-7721,,Ciências Sociais Aplicadas
